id	title	price_pc	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	condition	import_flag	shipping	shipping_origin	brand	maker	origin	minimum_purchase_quantity	search_tag
iherb-52774	[iHerb]Great Lakes Wellness 빠른 용해 콜라겐 펩타이드 데일리 웰니스 무맛	46460		https://www.onejikgu.co.kr/shop_view?idx=107438	https://www.onejikgu.co.kr/shop_view?idx=107438	https://cdn.imweb.me/upload/S2026031936150999f07e8/7c6944c99970a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/d5a5aa21fa782.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/950028707f3fc.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/fbc78b7e9a976.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/7571b5ccaddc4.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Great Lakes Wellness	Great Lakes Wellness	미국	1	Great Lakes Wellness,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-54632	[iHerb]Neocell 콜라겐 뷰티 빌더 150정	24070		https://www.onejikgu.co.kr/shop_view?idx=107437	https://www.onejikgu.co.kr/shop_view?idx=107437	https://cdn.imweb.me/upload/S2026031936150999f07e8/8a42fce884ab9.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/541ee47524da1.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Neocell	Neocell	미국	1	Neocell,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-120754	[iHerb]Neocell 어드밴스드 콜라겐 펩타이드 무맛 390g	42110		https://www.onejikgu.co.kr/shop_view?idx=107436	https://www.onejikgu.co.kr/shop_view?idx=107436	https://cdn.imweb.me/upload/S2026031936150999f07e8/c7c462cb5494d.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/94209f8bdd33f.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Neocell	Neocell	미국	1	Neocell,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-95937	[iHerb]Fit Lean 콜라겐 프로바이오틱스 무맛 12 64 oz	38140		https://www.onejikgu.co.kr/shop_view?idx=107433	https://www.onejikgu.co.kr/shop_view?idx=107433	https://cdn.imweb.me/upload/S2026031936150999f07e8/912df1b5d40a9.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/9c24bcd38c0ac.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Fit & Lean	Fit & Lean	미국	1	Fit & Lean,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-117711	[iHerb]스완슨 콜라겐 펩타이드 무맛 560g	58430		https://www.onejikgu.co.kr/shop_view?idx=107432	https://www.onejikgu.co.kr/shop_view?idx=107432	https://cdn.imweb.me/upload/S2026031936150999f07e8/18b78acd9e170.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4fe8101faac9e.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/9b9499f757516.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Swanson	Swanson	미국	1	Swanson,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-99610	[iHerb]가든오브라이프 목초 사육 콜라겐 슈퍼 뷰티 블루베리 아사이 270g	42500		https://www.onejikgu.co.kr/shop_view?idx=107431	https://www.onejikgu.co.kr/shop_view?idx=107431	https://cdn.imweb.me/upload/S2026031936150999f07e8/bac32d16e83eb.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/5a7c1560a1121.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Garden of Life	Garden of Life	미국	1	Garden of Life,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-99607	[iHerb]가든오브라이프 목초 사육 콜라겐 크리머 크림 바닐라 330g	37310		https://www.onejikgu.co.kr/shop_view?idx=107428	https://www.onejikgu.co.kr/shop_view?idx=107428	https://cdn.imweb.me/upload/S2026031936150999f07e8/460986d320ed7.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/2c3f19e393d11.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Garden of Life	Garden of Life	미국	1	Garden of Life,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-140744	[iHerb]Great Lakes Wellness 목초 사육 우피 콜라겐 펩타이드 초콜릿 284g	35460		https://www.onejikgu.co.kr/shop_view?idx=107427	https://www.onejikgu.co.kr/shop_view?idx=107427	https://cdn.imweb.me/upload/S2026031936150999f07e8/02725077ad673.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/47e559c0c9d99.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/9e1e0057fe691.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/3931c542477b0.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Great Lakes Wellness	Great Lakes Wellness	미국	1	Great Lakes Wellness,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-130078	[iHerb]Absolute Nutrition 콜라겐 분말 563g	69060		https://www.onejikgu.co.kr/shop_view?idx=107426	https://www.onejikgu.co.kr/shop_view?idx=107426	https://cdn.imweb.me/upload/S2026031936150999f07e8/11987af0268b2.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/a262aaa2293fc.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Absolute Nutrition	Absolute Nutrition	미국	1	Absolute Nutrition,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-115466	[iHerb]Organika Enhanced Collagen 무맛 500g	41740		https://www.onejikgu.co.kr/shop_view?idx=107425	https://www.onejikgu.co.kr/shop_view?idx=107425	https://cdn.imweb.me/upload/S2026031936150999f07e8/5ede6b3a83400.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/40e477d143b4b.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Organika	Organika	미국	1	Organika,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-65993	[iHerb]Neocell 어드밴스드 콜라겐 펩타이드 히알루론산 비타민C 무맛 195g	27530		https://www.onejikgu.co.kr/shop_view?idx=107424	https://www.onejikgu.co.kr/shop_view?idx=107424	https://cdn.imweb.me/upload/S2026031936150999f07e8/d2371c4209540.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/d86b0879028e5.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Neocell	Neocell	미국	1	Neocell,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-114030	[iHerb]Great Lakes Wellness 목초 사육 우피 콜라겐 펩타이드 바닐라 284g	35460		https://www.onejikgu.co.kr/shop_view?idx=107423	https://www.onejikgu.co.kr/shop_view?idx=107423	https://cdn.imweb.me/upload/S2026031936150999f07e8/1477b6bcd7cec.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/cd4277002ac01.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/e28b1011e9d21.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/13d1003c4b8b5.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/220f6393056b2.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Great Lakes Wellness	Great Lakes Wellness	미국	1	Great Lakes Wellness,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-140747	[iHerb]Great Lakes Wellness 어드밴스드 콜라겐 펩타이드 라즈베리 레모네이드	42350		https://www.onejikgu.co.kr/shop_view?idx=107422	https://www.onejikgu.co.kr/shop_view?idx=107422	https://cdn.imweb.me/upload/S2026031936150999f07e8/116bca2f3db69.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/229ac78b61d03.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/59798cf3e6685.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/e972581709f1d.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/7a6fb1bd71510.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Great Lakes Wellness	Great Lakes Wellness	미국	1	Great Lakes Wellness,iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161472	[iHerb]베스트 내추럴스 비오틴 최대 강도 캡슐 200정	15120		https://www.onejikgu.co.kr/shop_view?idx=107194	https://www.onejikgu.co.kr/shop_view?idx=107194	https://cdn.imweb.me/upload/S2026031936150999f07e8/a158ea150c0d9.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/27d32a7be7ff0.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Best Naturals (베스트 내추럴스)	Best Naturals (베스트 내추럴스)	미국	1	Best Naturals (베스트 내추럴스),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161465	[iHerb]베스트 내추럴스 셀레늄 200mcg 240정	14110		https://www.onejikgu.co.kr/shop_view?idx=107192	https://www.onejikgu.co.kr/shop_view?idx=107192	https://cdn.imweb.me/upload/S2026031936150999f07e8/b5c0513bfc96d.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/fb27682a4037a.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Best Naturals (베스트 내추럴스)	Best Naturals (베스트 내추럴스)	미국	1	Best Naturals (베스트 내추럴스),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161462	[iHerb]Best Naturals 아연설페이트 120정	14880		https://www.onejikgu.co.kr/shop_view?idx=107191	https://www.onejikgu.co.kr/shop_view?idx=107191	https://cdn.imweb.me/upload/S2026031936150999f07e8/3c398ec3fe5b8.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/dd6b62044de91.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Best Naturals (베스트 내추럴스)	Best Naturals (베스트 내추럴스)	미국	1	Best Naturals (베스트 내추럴스),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161256	[iHerb]비타매틱 알파리포산 베지 캡슐 120정	23640		https://www.onejikgu.co.kr/shop_view?idx=107184	https://www.onejikgu.co.kr/shop_view?idx=107184	https://cdn.imweb.me/upload/S2026031936150999f07e8/8e2f0f3e5e16e.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/e8c354639f21f.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/cc19ac94f5a9d.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/cb99d2f5db91e.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/6feafca3ccd37.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Vitamatic (비타매틱)	Vitamatic (비타매틱)	미국	1	Vitamatic (비타매틱),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161133	[iHerb]바흐 Spatone 철분 풍부한 물 비타민C 사과 주스 사과 주스 28정 각 25ml	25120		https://www.onejikgu.co.kr/shop_view?idx=107181	https://www.onejikgu.co.kr/shop_view?idx=107181	https://cdn.imweb.me/upload/S2026031936150999f07e8/9eed216cb43a3.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/20a8eb764d12e.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/fad5c048c0c94.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Bach (바흐)	Bach (바흐)	미국	1	Bach (바흐),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-160807	[iHerb]포스팩터 간 클렌즈 베지 캡슐 60정	24870		https://www.onejikgu.co.kr/shop_view?idx=107176	https://www.onejikgu.co.kr/shop_view?idx=107176	https://cdn.imweb.me/upload/S2026031936150999f07e8/5def11f5d9707.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/ca1c9578ebf1b.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/129ad6b9e44cd.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Force Factor (포스팩터)	Force Factor (포스팩터)	미국	1	Force Factor (포스팩터),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-84706	[iHerb]베스트 내추럴스 아연 50mg 240정	16140		https://www.onejikgu.co.kr/shop_view?idx=107166	https://www.onejikgu.co.kr/shop_view?idx=107166	https://cdn.imweb.me/upload/S2026031936150999f07e8/c486d78809745.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/e87a3c334e8b6.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Best Naturals (베스트 내추럴스)	Best Naturals (베스트 내추럴스)	미국	1	Best Naturals (베스트 내추럴스),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-75266	[iHerb]프로불린 여성 건강 프로바이오틱 캡슐 30정	36500		https://www.onejikgu.co.kr/shop_view?idx=107163	https://www.onejikgu.co.kr/shop_view?idx=107163	https://cdn.imweb.me/upload/S2026031936150999f07e8/7e4d515a3937c.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4d5986fdcc68c.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Probulin (프로불린)	Probulin (프로불린)	미국	1	Probulin (프로불린),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-4070	[iHerb]라이프익스텐션 레시틴 454g	46400		https://www.onejikgu.co.kr/shop_view?idx=107149	https://www.onejikgu.co.kr/shop_view?idx=107149	https://cdn.imweb.me/upload/S2026031936150999f07e8/1bbc329eb2928.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/11a3619323786.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Life Extension (라이프익스텐션)	Life Extension (라이프익스텐션)	미국	1	Life Extension (라이프익스텐션),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161530	[iHerb]더블 우드 서플리먼츠 캡슐 180정	26600		https://www.onejikgu.co.kr/shop_view?idx=107145	https://www.onejikgu.co.kr/shop_view?idx=107145	https://cdn.imweb.me/upload/S2026031936150999f07e8/5eef9b60b3786.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/e141fea7f88f8.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Double Wood Supplements (더블 우드 서플리먼츠)	Double Wood Supplements (더블 우드 서플리먼츠)	미국	1	Double Wood Supplements (더블 우드 서플리먼츠),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161522	[iHerb]더블 우드 서플리먼츠 NAD 캡슐 60정	44420		https://www.onejikgu.co.kr/shop_view?idx=107144	https://www.onejikgu.co.kr/shop_view?idx=107144	https://cdn.imweb.me/upload/S2026031936150999f07e8/e39d10e0f5449.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/9b24b6f841d5f.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Double Wood Supplements (더블 우드 서플리먼츠)	Double Wood Supplements (더블 우드 서플리먼츠)	미국	1	Double Wood Supplements (더블 우드 서플리먼츠),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161519	[iHerb]더블 우드 서플리먼츠 메틸화 종합비타민 캡슐 120정	30370		https://www.onejikgu.co.kr/shop_view?idx=107143	https://www.onejikgu.co.kr/shop_view?idx=107143	https://cdn.imweb.me/upload/S2026031936150999f07e8/4d6557197e0a5.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/7e7b05c3baaea.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Double Wood Supplements (더블 우드 서플리먼츠)	Double Wood Supplements (더블 우드 서플리먼츠)	미국	1	Double Wood Supplements (더블 우드 서플리먼츠),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161517	[iHerb]더블 우드 서플리먼츠 Mag-8 마그네슘 복합체 캡슐 180정	25970		https://www.onejikgu.co.kr/shop_view?idx=107142	https://www.onejikgu.co.kr/shop_view?idx=107142	https://cdn.imweb.me/upload/S2026031936150999f07e8/00cacbf39dd01.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/8b53904667df7.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Double Wood Supplements (더블 우드 서플리먼츠)	Double Wood Supplements (더블 우드 서플리먼츠)	미국	1	Double Wood Supplements (더블 우드 서플리먼츠),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161512	[iHerb]더블 우드 서플리먼츠 락토페린 캡슐 60정	27550		https://www.onejikgu.co.kr/shop_view?idx=107141	https://www.onejikgu.co.kr/shop_view?idx=107141	https://cdn.imweb.me/upload/S2026031936150999f07e8/2661e5703d5d2.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/c21768c9d0a6b.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Double Wood Supplements (더블 우드 서플리먼츠)	Double Wood Supplements (더블 우드 서플리먼츠)	미국	1	Double Wood Supplements (더블 우드 서플리먼츠),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161475	[iHerb]썬워리어 마그네슘 멀티플렉스 베지 캡슐 60정	24390		https://www.onejikgu.co.kr/shop_view?idx=107134	https://www.onejikgu.co.kr/shop_view?idx=107134	https://cdn.imweb.me/upload/S2026031936150999f07e8/5ad8bd88b8275.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/7632320a88bdd.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/2ae29a3687de4.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Sunwarrior (썬워리어)	Sunwarrior (썬워리어)	미국	1	Sunwarrior (썬워리어),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161451	[iHerb]스완슨 비타민 부드러운 마그네슘 드링크 믹스 베리 레모네이드 맛 244 5g	30720		https://www.onejikgu.co.kr/shop_view?idx=107133	https://www.onejikgu.co.kr/shop_view?idx=107133	https://cdn.imweb.me/upload/S2026031936150999f07e8/5105764288af4.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/9fb4d5106cec4.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Swanson Vitamins (스완슨 비타민)	Swanson Vitamins (스완슨 비타민)	미국	1	Swanson Vitamins (스완슨 비타민),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161450	[iHerb]스완슨 비타민 부드러운 마그네슘 드링크 믹스 블랙 체리 맛 184 5g	30720		https://www.onejikgu.co.kr/shop_view?idx=107132	https://www.onejikgu.co.kr/shop_view?idx=107132	https://cdn.imweb.me/upload/S2026031936150999f07e8/b61d64d1b185a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/cc76fdec6e801.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Swanson Vitamins (스완슨 비타민)	Swanson Vitamins (스완슨 비타민)	미국	1	Swanson Vitamins (스완슨 비타민),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161449	[iHerb]스완슨 비타민 부드러운 마그네슘 드링크 믹스 블루 라즈베리 맛 217 3g	30720		https://www.onejikgu.co.kr/shop_view?idx=107131	https://www.onejikgu.co.kr/shop_view?idx=107131	https://cdn.imweb.me/upload/S2026031936150999f07e8/d7dfca7cb821b.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/634f042809193.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Swanson Vitamins (스완슨 비타민)	Swanson Vitamins (스완슨 비타민)	미국	1	Swanson Vitamins (스완슨 비타민),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161442	[iHerb]쏜리서치 비타민D3 감귤류 30ml	24510		https://www.onejikgu.co.kr/shop_view?idx=107128	https://www.onejikgu.co.kr/shop_view?idx=107128	https://cdn.imweb.me/upload/S2026031936150999f07e8/f60fee4c959cc.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/8577585db28f2.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	Thorne (쏜리서치)	Thorne (쏜리서치)	미국	1	Thorne (쏜리서치),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161440	[iHerb]다빈치 래보라토리스 소프트젤 60정	39730		https://www.onejikgu.co.kr/shop_view?idx=107127	https://www.onejikgu.co.kr/shop_view?idx=107127	https://cdn.imweb.me/upload/S2026031936150999f07e8/8aa99ad1dd26d.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/f6afe9d0d6f01.jpeg	iHerb	비타민 영양제	신상품	Y	6000	미국	DaVinci Laboratories (다빈치 래보라토리스)	DaVinci Laboratories (다빈치 래보라토리스)	미국	1	DaVinci Laboratories (다빈치 래보라토리스),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161439	[iHerb]어드밴스드 우롤리틴 A 캡슐 90정	68400		https://www.onejikgu.co.kr/shop_view?idx=107126	https://www.onejikgu.co.kr/shop_view?idx=107126	https://cdn.imweb.me/upload/S2026031936150999f07e8/19a67b7ba7a79.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/44e017345f633.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	Advanced Orthomolecular Research AOR (AOR 어드밴스드)	Advanced Orthomolecular Research AOR (AOR 어드밴스드)	미국	1	Advanced Orthomolecular Research AOR (AOR 어드밴스드),iHerb,아이허브,해외직구,비타민 영양제,CATE83
iherb-161436	[iHerb]뉴챕터 All Flora 프로바이오틱 효소 복합체 비건 캡슐 90정	43960		https://www.onejikgu.co.kr/shop_view?idx=107125	https://www.onejikgu.co.kr/shop_view?idx=107125	https://cdn.imweb.me/upload/S2026031936150999f07e8/d744d4ca8a737.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/b22c5bfba4811.jpeg|https://cdn.imweb.me/upload/S2026031936150999f07e8/13e0f0497347c.jpeg	iHerb	비타민 영양제	신상품	Y	0	미국	New Chapter (뉴챕터)	New Chapter (뉴챕터)	미국	1	New Chapter (뉴챕터),iHerb,아이허브,해외직구,비타민 영양제,CATE83
